cleaned_area,cleaned_road,bed,bath,floor,is_land,tag,Loại địa ốc,Pháp lý,cleaned_price
105.0,12.5,4.0,2.0,24.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,6890.0
200.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,500.0
49.0,12.5,1.0,1.0,3.0,0,da_nang,bán căn hộ chung cư,Giấy tờ hợp lệ,3900.0
48.0,12.5,1.0,1.0,3.0,0,da_nang,bán căn hộ chung cư,Hợp đồng,3800.0
45.0,12.5,1.0,1.0,3.0,0,da_nang,bán căn hộ chung cư,Giấy tờ hợp lệ,3700.0
106.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,5512.0
45.0,12.5,1.0,1.0,3.0,0,da_nang,bán căn hộ chung cư,Giấy tờ hợp lệ,2500.0
177.6,12.5,0.0,0.0,0.0,1,da_nang,bán đất nền dự án,,15900.0
49.0,12.5,1.0,1.0,3.0,0,da_nang,bán căn hộ chung cư,Giấy tờ hợp lệ,3900.0
75.0,12.5,2.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,Giấy tờ hợp lệ,6500.0
105.0,12.5,3.0,3.0,3.0,0,da_nang,bán nhà phố dự án,Sổ hồng,6500.0
100.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất nền dự án,,5620.0
82.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,4735.0
104.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,Giấy tờ hợp lệ,8600.0
104.0,12.5,3.0,3.0,3.0,0,da_nang,bán căn hộ chung cư,Giấy tờ hợp lệ,8500.0
64.0,12.5,2.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,Giấy tờ hợp lệ,4785.0
105.0,12.5,3.0,2.0,12.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,3700.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà phố dự án,,8900.0
80.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,5800.0
49.0,12.5,1.0,1.0,3.0,0,da_nang,bán căn hộ chung cư,Giấy tờ hợp lệ,4100.0
49.0,12.5,1.0,1.0,3.0,0,da_nang,bán căn hộ chung cư,Giấy tờ hợp lệ,4100.0
49.0,12.5,1.0,1.0,3.0,0,da_nang,bán căn hộ chung cư,Giấy tờ hợp lệ,4100.0
49.0,12.5,1.0,1.0,3.0,0,da_nang,bán căn hộ chung cư,Giấy tờ hợp lệ,4100.0
56.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,2900.0
250.0,12.5,3.0,2.0,3.0,0,da_nang,bán biệt thự,Sổ hồng,9000.0
71.0,12.5,2.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,Giấy tờ hợp lệ,5500.0
49.0,12.5,1.0,1.0,3.0,0,da_nang,bán căn hộ chung cư,Hợp đồng,3850.0
105.0,12.5,4.0,3.0,21.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,6400.0
105.0,7.0,3.0,1.0,2.0,0,da_nang,bán nhà riêng,Sổ hồng,1386.0
102.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất nền dự án,,4650.0
72.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,10500.0
300.0,17.5,5.0,6.0,3.0,0,da_nang,bán biệt thự,Sổ hồng,28000.0
75.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,825.0
120.5,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,18000.0
111.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,17500.0
80.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,5000.0
300.0,25.0,4.0,6.0,3.0,0,da_nang,bán biệt thự,Sổ hồng,27000.0
82.96,12.5,2.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,4977.0
77.0,12.5,2.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,4620.0
80.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,6000.0
139.0,7.0,5.0,5.0,3.0,0,da_nang,bán nhà riêng,Sổ hồng,6500.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,2200.0
70.0,12.5,2.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,4242.0
70.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,3990.0
63.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,2600.0
63.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,4600.0
50.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,3879.0
500.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,8200.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,8900.0
52.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,3550.0
100.0,7.0,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,Sổ hồng,4677.0
128.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,13900.0
63.3,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,2586.0
97.7,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,4900.0
105.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,4880.0
63.3,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,2500.0
